sequence,method,MAE,AbsRel,RMSE,delta_1.25
nostructure_notexture,raw,0.3457932560958645,0.2618105755272237,0.3897645029154691,51.99322049381998
nostructure_notexture,ssr_retinex,0.3109456545080651,0.2286736635491252,0.3751061964102766,59.22013700526894
nostructure_notexture,lime,0.3391328073699366,0.2533106764947826,0.3821021493862975,53.175345647840125
nostructure_notexture,clahe_std,0.3040842014957558,0.2381466933610764,0.3447300258685242,50.13707249046184
nostructure_notexture,base_only,0.3450942813334139,0.2514377459545027,0.4080691275948828,56.69596524007652
nostructure_notexture,reflectance_clahe,0.296147521957755,0.2311272879554466,0.3346477117728103,51.80202078372345
nostructure_notexture,hybrid,0.3521796753122048,0.2702212462032383,0.4117140387269584,60.61777568585943
structure_notexture,raw,0.2050205052320687,0.2016143105783552,0.2575768068573384,66.38525719793708
structure_notexture,ssr_retinex,0.2120944269985523,0.2034275407006718,0.2879773838761842,63.08886835557367
structure_notexture,lime,0.182956788970052,0.1782359432358786,0.2377375801498035,69.68969385280727
structure_notexture,clahe_std,0.3092357839615839,0.3165438802174802,0.3598959772091991,37.834856531492896
structure_notexture,base_only,0.2146076425417976,0.2062064323504016,0.2876119242524201,61.38640027514518
structure_notexture,reflectance_clahe,0.2366781409056681,0.2372907911128593,0.2931948899519893,53.22032838238986
structure_notexture,hybrid,0.1511664527626532,0.1436381209641695,0.2092568750651377,78.16518259717486
nostructure_texture,raw,0.3925275493685792,0.3285770200011206,0.4318117231312322,24.98396851136482
nostructure_texture,ssr_retinex,0.43331623990543,0.364932979661517,0.4724018970822415,24.21643276068734
nostructure_texture,lime,0.3922016800540249,0.3287368606685138,0.4315828587405565,24.7443434758168
nostructure_texture,clahe_std,0.2985341151403944,0.2465635821586702,0.3393523384158204,41.72715695629173
nostructure_texture,base_only,0.448892151482585,0.3731926565126675,0.4871894393752261,25.224637138389127
nostructure_texture,reflectance_clahe,0.3729248533888561,0.3120947506551335,0.4118114549030618,27.578287134294253
nostructure_texture,hybrid,0.2813534201917851,0.2323938504134009,0.3236905953324422,46.80992501733825
structure_texture,raw,0.2037897630120223,0.1618105698517471,0.2424404957103279,71.48169720874125
structure_texture,ssr_retinex,0.294291670311172,0.2257876407425358,0.3579343025976756,54.48508734782509
structure_texture,lime,0.1990487381710477,0.1578469819582577,0.2385699757427539,72.28001988262096
structure_texture,clahe_std,0.2146487498550482,0.1707297752980353,0.2650830611445994,73.11502874656016
structure_texture,base_only,0.2375074007179377,0.1823321150721244,0.2973481127816551,65.47815794122711
structure_texture,reflectance_clahe,0.2169268304868689,0.1698817522880041,0.2705173489620101,73.40897963545116
structure_texture,hybrid,0.2764530672147026,0.2107307089598111,0.346103762469764,58.49815421082357
